	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	contrast
Dap3	25.2614629354399	-0.088791393230093	0.743311488030121	-0.119453815338442	0.904915827989413	0.999670823306777	BMDM_GW-BMDM_DMHCA
Cap1	727.093716433662	-0.231743306510813	0.271623651724928	-0.853177935865094	0.393560637116168	0.999670823306777	BMDM_GW-BMDM_DMHCA
Fgd4	173.557497366592	-0.0441862183714813	0.617588808344241	-0.071546339205765	0.942962945671662	0.999670823306777	BMDM_GW-BMDM_DMHCA
Nfu1	16.9657934644122	0.196623811613223	0.719426833305618	0.273306196697971	0.784617852330976	0.999670823306777	BMDM_GW-BMDM_DMHCA
Ly86	33.1298980418105	-0.266621930262133	0.760912858416388	-0.350397456572131	0.726040434918709	0.999670823306777	BMDM_GW-BMDM_DMHCA
Alyref	49.3321377856828	-0.265388556314477	0.831326999537801	-0.319234857597584	0.749548426165522	0.999670823306777	BMDM_GW-BMDM_DMHCA
Apobec3	74.4874548154515	0.591869930391296	0.861751495817038	0.686822051675276	0.492194871831391	0.999670823306777	BMDM_GW-BMDM_DMHCA
Pias1	18.1482115450554	0.133264842641261	0.683954542301163	0.19484459039177	NA	NA	BMDM_GW-BMDM_DMHCA
Rnase4	23.7764687900969	0.236055462594446	0.743366249034162	0.317549341123769	0.750826806363225	0.999670823306777	BMDM_GW-BMDM_DMHCA
Lmnb2	20.6921365952279	-0.486311021513325	0.748840364817515	-0.649418813890774	0.516067706607999	0.999670823306777	BMDM_GW-BMDM_DMHCA
Sap18	18.0307082774062	-0.961862439897951	0.756162706630261	-1.27203104763572	0.203362088158244	0.999670823306777	BMDM_GW-BMDM_DMHCA
Nedd1	34.4871756967322	1.308051072405	0.805682139149432	1.62353241910752	0.104475638942683	0.999670823306777	BMDM_GW-BMDM_DMHCA
Slc25a4	115.380500387365	0.384053092631152	0.716090375278707	0.536319305341419	0.591737890486015	0.999670823306777	BMDM_GW-BMDM_DMHCA
Spcs2	100.148477944934	0.227801609296869	0.761309596936879	0.299223351726323	0.764769632958789	0.999670823306777	BMDM_GW-BMDM_DMHCA
Kbtbd4	7.9990638955531	-0.199494921589754	0.699992008546535	-0.284995998745736	0.775647207406326	0.999670823306777	BMDM_GW-BMDM_DMHCA
Psmd3	50.5223903811643	-0.930616957857961	0.850142010251425	-1.09466059391976	NA	NA	BMDM_GW-BMDM_DMHCA
Vps13b	73.6969704372476	1.33070854933367	0.854066768629797	1.55808491585331	0.119213119933266	0.999670823306777	BMDM_GW-BMDM_DMHCA
Azin1	35.2713724091328	0.766933601561013	0.85046107486566	0.901785659834177	0.367170738893549	0.999670823306777	BMDM_GW-BMDM_DMHCA
Pde4a	19.7853148101646	0.197888163109776	0.731257518667966	0.270613509000553	0.786688304713401	0.999670823306777	BMDM_GW-BMDM_DMHCA
Cyp4v3	93.6520345985917	0.962039247463254	0.755191593970226	1.27390089501073	0.202698541186902	0.999670823306777	BMDM_GW-BMDM_DMHCA
Gabarapl2	2.33300126048342	0.113037680577265	0.698340408190135	0.161866160473545	NA	NA	BMDM_GW-BMDM_DMHCA
Ctnnd1	198.856652458414	-0.0420761075325444	0.583722131427229	-0.0720824263244332	0.942536311602319	0.999670823306777	BMDM_GW-BMDM_DMHCA
Speg	65.209600091752	0.11850090523777	0.862365380258039	0.137413801563221	0.890703722461798	0.999670823306777	BMDM_GW-BMDM_DMHCA
Hgs	47.7821889521622	-0.375712540527036	0.83610822265575	-0.449358743696661	NA	NA	BMDM_GW-BMDM_DMHCA
Gpalpp1	46.5278347081859	-0.0273286295090692	0.825822660713674	-0.0330926127474534	0.973600733698666	0.999670823306777	BMDM_GW-BMDM_DMHCA
Pum1	46.7657781689963	-0.353300638530518	0.836828057916779	-0.42219023990428	0.672886164919482	0.999670823306777	BMDM_GW-BMDM_DMHCA
Pls3	33.2669255747886	-0.166625662582936	0.807291407521981	-0.206400887003618	0.836477778020205	0.999670823306777	BMDM_GW-BMDM_DMHCA
Thap7	22.1321464659517	-0.714155108090996	0.750832988164811	-0.951150414736753	0.341528025488043	0.999670823306777	BMDM_GW-BMDM_DMHCA
Cav2	61.4273013556731	0.52103998672686	0.861421378373541	0.604860756660859	0.545271520073206	0.999670823306777	BMDM_GW-BMDM_DMHCA
Dirc2	40.3951346509206	-0.0380962254670817	0.841792496144199	-0.0452560763389792	0.963903197545384	0.999670823306777	BMDM_GW-BMDM_DMHCA
Arhgef1	152.583590978319	0.415317210623491	0.638857419320037	0.650093742459046	0.515631671010192	0.999670823306777	BMDM_GW-BMDM_DMHCA
Cnot9	43.5546902863928	0.0199621454309313	0.857711733046242	0.0232737231657469	0.981431931911231	0.999670823306777	BMDM_GW-BMDM_DMHCA
Cct6a	20.5399598910703	0.00859126303646291	0.761096562943183	0.0112880066140888	0.990993665063956	0.999670823306777	BMDM_GW-BMDM_DMHCA
Gpank1	17.5292865568031	0.321360933108074	0.716103185253776	0.44876344600281	0.653602310578843	0.999670823306777	BMDM_GW-BMDM_DMHCA
Mgst3	22.8680851080589	0.311970888643993	0.737763758669562	0.422860143207064	0.672397303897228	0.999670823306777	BMDM_GW-BMDM_DMHCA
Chd8	119.549851679315	-0.271516312336464	0.805849597765645	-0.336931746431703	0.736168352927792	0.999670823306777	BMDM_GW-BMDM_DMHCA
Pdha1	17.7202418495267	-0.221475728543623	0.730166604323814	-0.303322183227929	0.761644342254777	0.999670823306777	BMDM_GW-BMDM_DMHCA
Son	295.558660098868	0.457527918509031	0.449013702002236	1.01896204162329	0.308220987526389	0.999670823306777	BMDM_GW-BMDM_DMHCA
Fads1	92.8577645924511	-0.546607281150572	0.828325101823515	-0.65989462343619	0.509321454744328	0.999670823306777	BMDM_GW-BMDM_DMHCA
Fam20b	11.0655406412933	0.404070299456688	0.771245823948009	0.523918946346123	NA	NA	BMDM_GW-BMDM_DMHCA
Smim20	8.30330884982754	-0.41255110004376	0.719446517777305	-0.573428447910648	0.566354633183557	0.999670823306777	BMDM_GW-BMDM_DMHCA
Ube2g1	20.8474373821769	0.197902070564445	0.734560421174843	0.269415646228154	0.78760984719887	0.999670823306777	BMDM_GW-BMDM_DMHCA
Cltc	268.13702910907	0.00298064729391206	0.618399274346118	0.00481993983104804	0.996154259315406	0.999670823306777	BMDM_GW-BMDM_DMHCA
Pknox1	7.14372393561616	-0.160401791402279	0.662782250451999	-0.242012804798092	NA	NA	BMDM_GW-BMDM_DMHCA
Fip1l1	17.7713246986424	-0.186937084406294	0.717843647641787	-0.260414764441264	NA	NA	BMDM_GW-BMDM_DMHCA
Eno1	106.58805195103	0.427625238816958	0.802297944456451	0.533000541471747	0.594033205483627	0.999670823306777	BMDM_GW-BMDM_DMHCA
Adam15	304.902437364058	0.55253016252421	0.813889884616656	0.678875819650288	0.497216547948768	0.999670823306777	BMDM_GW-BMDM_DMHCA
Fbxo18	55.2263949889452	0.825023830276638	0.843635975803307	0.977938179427512	0.328104900624933	0.999670823306777	BMDM_GW-BMDM_DMHCA
Mrc1	126.592736747213	-0.693773753786015	0.691786807598625	-1.00287219438932	0.315922530083123	0.999670823306777	BMDM_GW-BMDM_DMHCA
1700020I14Rik	15.459505624493	-0.505122969690357	0.717524312228229	-0.703980284823699	NA	NA	BMDM_GW-BMDM_DMHCA
Yod1	11.3276874177809	-0.499262459829063	0.720244818132198	-0.693184382948834	0.488193847519068	0.999670823306777	BMDM_GW-BMDM_DMHCA
Ier5	67.3818473318937	-0.0853019701505513	0.858819335272807	-0.0993246968798797	0.920880470095699	0.999670823306777	BMDM_GW-BMDM_DMHCA
Hpgds	135.715687890608	-0.604035924476884	0.791684219248357	-0.762975830250059	0.44547781036853	0.999670823306777	BMDM_GW-BMDM_DMHCA
Zmynd11	78.0571910739718	-0.269946793467608	0.853450631022313	-0.316300420499133	0.75177449201454	0.999670823306777	BMDM_GW-BMDM_DMHCA
Tgfbr1	154.671169687012	0.222095053970083	0.601570600950054	0.369192001103994	0.711984617596243	0.999670823306777	BMDM_GW-BMDM_DMHCA
Gmps	11.3409634978082	-0.197151225264549	0.769285335979329	-0.256278413280254	0.797735864489365	0.999670823306777	BMDM_GW-BMDM_DMHCA
Lrch3	63.6618694927196	-0.950118533559678	0.837443821011947	-1.13454599546938	0.256565591580221	0.999670823306777	BMDM_GW-BMDM_DMHCA
Inip	25.9256052939772	-0.610466288640224	0.760701634727072	-0.802504241836223	0.422261335676121	0.999670823306777	BMDM_GW-BMDM_DMHCA
Cdkn1b	56.2631773726185	-0.493136606853045	0.86076839052113	-0.572902783470579	0.566710519836892	0.999670823306777	BMDM_GW-BMDM_DMHCA
Tmod3	147.484052093519	-0.713615248774846	0.693552331183196	-1.02892776318324	0.303513621004555	0.999670823306777	BMDM_GW-BMDM_DMHCA
Acod1	17.6153581561237	-0.763059033590346	0.742171831590485	-1.02814335051641	0.303882401349483	0.999670823306777	BMDM_GW-BMDM_DMHCA
Parp10	45.5658600907972	-0.410062051843255	0.85242319185788	-0.481054546333393	0.630477731871322	0.999670823306777	BMDM_GW-BMDM_DMHCA
Rpl8	202.848941189725	-0.0947494081542812	0.534368958869682	-0.177310838478902	0.859264237808468	0.999670823306777	BMDM_GW-BMDM_DMHCA
Mrps17	21.4412419291965	0.107907629195016	0.73241007258723	0.14733225720645	0.882869772720524	0.999670823306777	BMDM_GW-BMDM_DMHCA
Trim41	76.9043539473331	0.851312320570752	0.861407105698521	0.988281051942817	0.323015022549954	0.999670823306777	BMDM_GW-BMDM_DMHCA
Vps4a	47.7761124987828	0.437055457895656	0.838034219817936	0.521524595965314	0.60200137605369	0.999670823306777	BMDM_GW-BMDM_DMHCA
Cyfip2	63.9591381426547	0.944000315138826	0.860267892562992	1.09733296255701	0.272495866568668	0.999670823306777	BMDM_GW-BMDM_DMHCA
Wfdc17	74.7380022991336	-0.257282000851905	0.846433268031164	-0.303960170953999	0.761158235288564	0.999670823306777	BMDM_GW-BMDM_DMHCA
Nav1	142.037443238902	0.137235769807172	0.698354009263585	0.196513183839078	0.844208514634746	0.999670823306777	BMDM_GW-BMDM_DMHCA
Wdr13	69.350049361712	-0.121291226633825	0.854601459131648	-0.141927240280011	0.887137477482112	0.999670823306777	BMDM_GW-BMDM_DMHCA
Hif1an	48.9522319260998	-1.26848703056244	0.86233963324429	-1.47098310417456	0.141295686204935	0.999670823306777	BMDM_GW-BMDM_DMHCA
Pomt2	28.5988524647309	-0.541143047288346	0.762975394249975	-0.709253602890174	0.478167115003048	0.999670823306777	BMDM_GW-BMDM_DMHCA
Dld	9.98121308723874	0.0716683031378197	0.663827202635028	0.107962287253876	NA	NA	BMDM_GW-BMDM_DMHCA
Fam98b	22.3742405871338	0.0862111668449062	0.742772758895747	0.116066678284046	0.907599697165942	0.999670823306777	BMDM_GW-BMDM_DMHCA
Nacc1	78.1559545515341	0.50710438502128	0.860067893083731	0.589609714650645	NA	NA	BMDM_GW-BMDM_DMHCA
Nudt16	3.91970417789487	-0.293935430255991	0.714073756875021	-0.411631750118267	NA	NA	BMDM_GW-BMDM_DMHCA
Etfrf1	17.7645987121811	0.66281882857425	0.739753791606964	0.89599923122315	0.370253173823286	0.999670823306777	BMDM_GW-BMDM_DMHCA
Slc7a6os	7.1068545369006	-0.0483274099128449	0.661311337786795	-0.0730781511694353	NA	NA	BMDM_GW-BMDM_DMHCA
Tmem189	92.632048128078	0.276063920299951	0.758658213494676	0.363884441490843	0.715944303258346	0.999670823306777	BMDM_GW-BMDM_DMHCA
Nol9	40.1579591472874	1.05750165034794	0.833930682611408	1.26809298710108	0.204764745630147	0.999670823306777	BMDM_GW-BMDM_DMHCA
Adam1a	21.274328115303	-0.899093688169345	0.735445248431236	-1.22251614255063	0.221512503183511	0.999670823306777	BMDM_GW-BMDM_DMHCA
Trappc13	36.233655718166	0.0688782315046936	0.833664539179683	0.0826210403197299	0.934152870716669	0.999670823306777	BMDM_GW-BMDM_DMHCA
Znrd1	23.2353950805702	-0.955836618935816	0.769603461087558	-1.24198586319386	0.214241777977527	0.999670823306777	BMDM_GW-BMDM_DMHCA
Rbm12	31.1345989389116	-0.491677007355886	0.726756905285067	-0.676535721615233	NA	NA	BMDM_GW-BMDM_DMHCA
Stk11ip	76.9618744314117	-0.776054893352494	0.857729498681218	-0.904778131736986	0.36558293913817	0.999670823306777	BMDM_GW-BMDM_DMHCA
Mthfd1	8.3869629612335	-0.35288621618564	0.703196949889899	-0.50183126681777	NA	NA	BMDM_GW-BMDM_DMHCA
