	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	contrast
Dap3	114.71626105513	0.36951235436205	1.9339296296348	0.191068148861149	0.848472201415282	0.99998183208365	BMDM_DMHCA-BMDM_veh
Cap1	3124.72279787683	0.361175395448375	0.234072036147959	1.54300958539136	0.122828450228353	0.630812949892349	BMDM_DMHCA-BMDM_veh
Fgd4	864.473578851442	-0.306788500247292	0.550745873375184	-0.557041850113508	0.577498836045384	0.99998183208365	BMDM_DMHCA-BMDM_veh
Nfu1	56.5033395097215	-0.0795146980810612	1.83835716506321	-0.0432531281690993	0.965499754529548	0.99998183208365	BMDM_DMHCA-BMDM_veh
Ly86	209.093150518405	-0.0271213417613386	1.85801139214589	-0.0145969728043567	0.988353714348562	0.99998183208365	BMDM_DMHCA-BMDM_veh
Alyref	216.676789784155	0.809987380910853	1.58929264482325	0.509652758759816	0.610294754904967	0.99998183208365	BMDM_DMHCA-BMDM_veh
Apobec3	191.240106021272	0.0981284645807863	1.33817347408811	0.0733301522417751	0.941543398263774	0.99998183208365	BMDM_DMHCA-BMDM_veh
Pias1	146.399759407684	-1.60979480651636	1.84613187495891	-0.871982564383266	0.383217889409625	0.99998183208365	BMDM_DMHCA-BMDM_veh
Rnase4	155.826187482702	-1.37052129677545	1.85989789155791	-0.736879859370911	0.461195413045252	0.99998183208365	BMDM_DMHCA-BMDM_veh
Lmnb2	137.540286826374	0.241639415816371	1.58252256144744	0.152692556620083	0.878640730888032	0.99998183208365	BMDM_DMHCA-BMDM_veh
Sap18	112.889358630194	1.34225604997088	1.6349465483601	0.820978552061657	0.411658485179545	0.99998183208365	BMDM_DMHCA-BMDM_veh
Nedd1	40.255615371677	-4.36401089289375	1.36983414544793	-3.18579508869428	0.00144356802656478	0.0105563379299022	BMDM_DMHCA-BMDM_veh
Slc25a4	393.775864259852	0.148004107955786	0.621186721487058	0.238260257079352	0.811679244055526	0.99998183208365	BMDM_DMHCA-BMDM_veh
Mad2l1bp	23.2367421186456	-5.47118903536639	1.21300220837735	-4.51045265835525	6.46894376094815e-06	0.000237423590996065	BMDM_DMHCA-BMDM_veh
Spcs2	316.468640269305	0.727383375162305	0.837283877745231	0.868741647242887	0.384988456351403	0.99998183208365	BMDM_DMHCA-BMDM_veh
Kbtbd4	63.875128202258	-0.562555336628642	1.85659232541218	-0.303004234655418	0.761886634428158	0.99998183208365	BMDM_DMHCA-BMDM_veh
Psmd3	312.786417637385	0.597923726498385	0.692380762457906	0.863576458097702	0.387820601251759	0.99998183208365	BMDM_DMHCA-BMDM_veh
Vps13b	200.877314946061	-1.48277497869435	1.4205260227174	-1.04382105993235	0.29656818606505	0.99998183208365	BMDM_DMHCA-BMDM_veh
Zcrb1	18.1869645120712	-5.21782641844228	1.1424401225903	-4.56726467782984	4.94129918526823e-06	0.000237423590996065	BMDM_DMHCA-BMDM_veh
Azin1	225.128348568779	-2.36757641946377	1.41551024584725	-1.67259574871298	0.0944069043876191	0.514657023795185	BMDM_DMHCA-BMDM_veh
