,V1
1,Nedd1
2,Mad2l1bp
3,Zcrb1
4,4930470G03Rik
5,Xylt1
6,Upf3a
7,Sirt3
8,Cltc
9,Snu13
10,Nadk2
11,Rrad
12,Gtpbp3
13,Rpa2
14,Cbr3
15,Smim1
16,Dlat
17,Txnrd2
18,Mrpl11
19,Mut
20,Faim
21,Fam206a
22,Rpp25l
23,Stap1
24,Mpi
25,Jkamp
26,Anks1
27,Plscr1
28,Maip1
29,Zfp809
30,Eme1
31,Fam76a
32,Dnajb9
33,Zfp800
34,Sugp2
35,Bricd5
36,Sprr1a
37,Srfbp1
38,Riok1
39,Atp5h
40,Tmem97
41,Psmg2
42,Stau2
43,Hook2
44,Rb1
45,Ufc1
46,Gm3219
47,Orc6
48,Nop56
49,Ndufaf2
50,Tmem230
51,Eif2b4
52,Zfp771
53,Cd207
54,Xrcc6
55,Nudt9
56,Ipmk
57,Rpl37a
58,Mkks
59,Nudt13
60,Bnip1
61,Pin1
62,Brix1
63,Enoph1
64,Kdm1b
65,Lrrc14b
66,Xxylt1
67,Ndufb6
68,Ndufb3
69,Arrdc2
70,Eef2kmt
71,2410002F23Rik
72,Rpl35a
73,Pfkfb2
74,Def6
75,Rubcnl
76,Nop9
77,Klhl6
78,Zdhhc13
79,Lrrc8c
80,Opa3
81,Gcc1
82,Rgs18
83,Nenf
84,Mrps31
85,Usmg5
86,Rpusd1
87,6030458C11Rik
88,Tor1a
89,Lsm1
90,Igtp
91,Plppr3
92,Nme3
93,Rab20
94,Zcchc7
95,Tirap
96,Gab3
97,Pgk1
98,Rpain
99,Ndufaf3
100,Srpk1
101,Zcchc17
102,Mastl
103,Uri1
104,Cebpzos
105,Tmem223
106,Acot13
107,Fam210b
108,Arhgap6
109,0610010F05Rik
110,Xpnpep1
111,C2cd3
112,2310009A05Rik
113,Stx12
114,Atpaf2
115,Nxpe5
116,Efl1
117,Phlpp1
118,Ska2
119,Anapc16
120,Hsdl1
121,Ogg1
122,Dapk3
123,Creld2
124,Elp5
125,Plec
126,Ppa2
127,Fam110a
128,Cgrrf1
129,Decr1
130,Fars2
131,Dexi
132,Adck2
133,Pex7
134,Ndrg1
135,Nit1
136,Nmral1
137,Rpp30
138,Tmem60
139,Esco1
140,Itpa
141,Tbp
142,Sbds
143,Phb
144,Lias
145,Ppdpf
146,Psmd14
147,F11r
148,Chchd1
149,AI597479
150,Rnf25
151,Crtap
152,Pstpip2
153,Fgfr1op
154,Ccdc189
155,Wdr83
156,Mecr
157,Dffa
158,Eif1ad
159,Ubxn7
160,Kctd13
161,Sac3d1
162,Rab5c
163,Zfp422
164,Cisd3
165,Gsap
166,Hist1h2bc
167,Atg12
168,Tmem35b
169,Maged2
170,Arl15
171,Pcbd2
172,Kpna2
173,Pycrl
174,Mocs1
175,Uck2
176,Ticam1
177,Zranb3
178,Kat5
179,Bola3
180,Mbnl2
181,Ptdss2
182,Dgcr8
183,Eci1
184,Cyb561d2
185,Ccdc28b
186,Helz
187,Susd1
188,Ovca2
189,Slc35b3
190,2410015M20Rik
191,Brd8
192,0610039K10Rik
193,Gabpb1
194,Rrs1
195,Mrgbp
196,Uqcc2
197,Fabp4
198,1700088E04Rik
199,Lrrc8b
200,Zfp787
201,Crbn
202,Kctd5
203,Aaed1
204,Ints13
205,Slc25a17
206,Gnl1
207,Rassf5
208,Ythdc1
209,Fkbpl
210,Mrpl50
211,Pcbp4
212,Srp19
213,Gtf3c5
214,Tnfrsf21
215,Zfp629
216,Cdc20
217,Mgme1
218,Npm3
219,Timm17b
220,1700023D09Rik
221,Ppwd1
222,Mrpl40
