	BMDM_veh_rep1	BMDM_veh_rep2	BMDM_DMHCA_rep1	BMDM_DMHCA_rep2	BMDM_DMHCA_rep3	BMDM_GW_rep1	BMDM_GW_rep2	BMDM_GW_rep3
Dap3	1005	1265	0	101	0	206	0	13
Slc22a29	0	0	0	0	0	0	0	0
P2rx6	18	6	0	0	0	0	0	0
Aldh3b3	0	1	0	0	0	0	0	0
Hist1h4k	7	16	0	0	0	0	0	0
Apod	2	2	0	0	0	0	0	0
Slc4a10	0	0	0	0	0	0	0	0
Ccdc105	0	0	0	0	0	0	0	0
Clcn6	778	891	0	12	0	94	0	0
Cap1	30112	37262	950	1078	347	7861	529	192
4930459C07Rik	0	0	0	0	0	0	0	0
Fgd4	11701	12960	192	344	48	2218	206	22
Clec4g	0	0	0	0	0	0	0	0
Gemin2	125	175	0	0	0	69	0	0
Nfu1	725	763	0	42	0	85	0	15
Ly86	2463	2895	0	159	0	831	0	2
Acrv1	0	0	0	0	0	0	0	0
Acp5	183	242	0	0	1	84	0	0
Ppic	65	75	0	1	0	83	0	0
4930557J02Rik	0	1	0	0	0	0	0	0
Gnb3	2	5	0	0	0	0	0	0
D1Pas1	2	4	0	0	0	2	0	0
Slc45a1	0	0	0	0	0	0	0	0
Alyref	1296	2180	0	115	38	218	0	24
1700074H08Rik	0	0	0	0	0	0	0	0
Gm4890	27	42	0	0	0	0	0	0
Apobec3	2165	2443	72	95	1	469	0	70
9430060I03Rik	25	57	0	0	0	0	0	0
Pias1	3365	3589	61	0	0	974	0	0
Hs6st2	0	0	0	0	0	0	0	0
Gstt2	149	205	0	0	0	0	0	0
Vmn2r65	0	0	0	0	0	0	0	0
Hic1	12	10	0	26	0	0	0	0
Robo3	0	0	0	0	0	0	0	0
Rnase4	3083	3960	0	57	0	437	0	16
Lmnb2	1183	1925	83	52	0	342	0	0
Me1	367	429	2	0	0	131	0	0
Sap18	562	672	112	36	0	16	0	0
Katnal1	440	586	0	1	0	135	0	0
Tph1	0	0	0	0	0	0	0	0
Tspan11	0	0	0	0	0	0	0	0
Nedd1	1144	1289	0	2	0	309	141	0
Fmo2	0	0	0	0	0	0	0	0
Slc25a4	3928	5396	129	73	60	907	163	32
2810404M03Rik	0	0	0	0	0	0	0	0
Mad2l1bp	616	859	0	0	0	236	1	0
Rtp3	0	2	0	0	0	0	0	0
Spcs2	2539	3065	110	43	68	910	77	42
Kbtbd4	988	1169	0	38	0	175	0	1
Tubg2	3	6	0	0	0	0	0	0
Gsdmc2	0	0	0	0	0	0	0	0
Dlgap3	0	0	0	0	0	0	0	0
Nr1h5	0	0	0	0	0	0	0	0
Psmd3	2643	3341	147	62	44	713	0	0
Slc4a9	2	2	0	0	0	0	0	0
Tgfbr3l	9	14	0	0	0	0	0	0
Slc2a4	5	0	0	0	0	0	0	0
Cpa6	0	2	0	0	0	0	0	0
Gm7443	2	1	0	0	0	0	0	0
Vps13b	4110	4589	51	42	0	954	58	57
Olfr837	0	0	0	0	0	0	0	0
Zcrb1	520	627	0	0	0	0	0	0
1500015L24Rik	0	0	0	0	0	0	0	0
2900052L18Rik	207	217	0	0	0	0	0	0
4732490B19Rik	0	0	0	0	0	0	0	0
L2hgdh	159	230	59	0	0	0	0	0
Itgb2l	0	2	0	0	0	0	0	0
Defb9	0	0	0	0	0	0	0	0
Tnnt2	0	0	0	0	0	0	0	0
Azin1	5327	6278	10	45	0	864	39	14
Pabpn1l	0	0	0	0	0	0	0	0
Pde4a	954	1328	0	50	0	292	0	14
Tmem25	29	67	0	24	0	0	0	0
Cyp4v3	4901	5184	69	44	34	1271	112	41
Arnt2	4	0	0	0	0	0	0	0
Slc13a4	0	0	0	0	0	0	0	0
Lrrtm1	0	0	0	0	0	12	0	0
Rorb	0	1	0	0	0	0	0	0
Gabarapl2	438	602	0	7	0	118	0	0
Ctnnd1	9549	11627	186	300	98	3022	59	75
Ribc1	11	39	0	0	0	0	0	0
Speg	1783	2327	72	56	36	848	0	38
Gsta1	0	0	0	0	0	0	0	0
Hgs	3059	3828	136	11	39	1373	0	0
Gpalpp1	3007	3195	0	28	52	391	0	27
Akr1c19	0	0	0	0	0	0	0	0
Trp53bp2	652	790	0	0	0	59	0	0
Tcl1	0	0	0	0	0	0	0	0
Gm15997	0	0	0	0	0	0	0	0
Pum1	3182	3715	112	128	0	811	0	10
Sybu	0	0	0	0	0	0	0	0
Vmn1r168	0	0	0	0	0	0	0	0
Mymx	0	0	0	0	0	0	0	0
Bdkrb1	0	2	0	0	0	0	0	0
Pls3	2138	2371	21	122	0	262	0	16
Thap7	631	816	0	27	43	164	0	0
Cav2	4265	4726	1	93	19	715	30	39
Olfr1123	0	0	0	0	0	0	0	0
Grid2ip	0	2	0	0	0	0	0	0
Dirc2	1049	1423	118	49	1	362	0	23
Dip2c	469	583	0	0	0	32	0	0
Btbd35f23	0	0	0	0	0	0	0	0
Gad1	0	0	0	0	0	0	0	0
Ceacam20	0	0	0	0	0	0	0	0
Itm2a	50	67	0	0	0	65	0	0
Arhgef1	8705	11181	221	77	72	3142	172	23
Apol7d	0	0	0	0	0	0	0	0
Mup11	0	0	0	0	0	0	0	0
4930470G03Rik	680	801	0	0	0	126	0	3
Try10	0	0	0	0	0	0	0	0
Vmn2r76	0	0	0	0	0	0	0	0
Cnot9	2665	3441	116	58	0	528	40	11
Bckdhb	78	156	0	1	0	0	58	0
Fgf13	62	81	0	0	0	0	1	0
Slc51b	0	0	0	0	0	0	0	0
