	BMDM_veh_rep1	BMDM_veh_rep2	BMDM_DMHCA_rep1	BMDM_DMHCA_rep2	BMDM_DMHCA_rep3	BMDM_GW_rep1	BMDM_GW_rep2	BMDM_GW_rep3
Dap3	9.692	10.056	0	41.37	0	7.435	0	27.467
Slc22a29	0	0	0	0	0	0	0	0
P2rx6	0.343	0.094	0	0	0	0	0	0
Aldh3b3	0	0.018	0	0	0	0	0	0
Hist1h4k	0.767	1.445	0	0	0	0	0	0
Apod	0.045	0.037	0	0	0	0	0	0
Slc4a10	0	0	0	0	0	0	0	0
Ccdc105	0	0	0	0	0	0	0	0
Clcn6	6.713	6.337	0	4.398	0	3.035	0	0
Cap1	487.122	496.901	501.555	740.685	698.301	475.918	603.764	680.479
4930459C07Rik	0	0	0	0	0	0	0	0
Fgd4	62.527	57.09	33.485	78.077	31.908	44.357	77.665	25.756
Clec4g	0	0	0	0	0	0	0	0
Gemin2	3.524	4.067	0	0	0	7.28	0	0
Nfu1	34.13	29.609	0	83.978	0	14.975	0	154.705
Ly86	110.678	107.238	0	303.466	0	139.75	0	19.69
Acrv1	0	0	0	0	0	0	0	0
Acp5	5.815	6.339	0	0	3.953	9.989	0	0
Ppic	2.261	2.15	0	1.477	0	10.804	0	0
4930557J02Rik	0	0.034	0	0	0	0	0	0
Gnb3	0.049	0.1	0	0	0	0	0	0
D1Pas1	0.028	0.046	0	0	0	0.104	0	0
Slc45a1	0	0	0	0	0	0	0	0
Alyref	51.294	71.126	0	193.321	187.095	32.291	0	208.109
1700074H08Rik	0	0	0	0	0	0	0	0
Gm4890	0.462	0.592	0	0	0	0	0	0
Apobec3	39.344	36.597	42.702	73.326	2.261	31.897	0	278.697
9430060I03Rik	0.666	1.252	0	0	0	0	0	0
Pias1	38.994	34.284	23.07	0	0	42.24	0	0
Hs6st2	0	0	0	0	0	0	0	0
Gstt2	4.863	5.516	0	0	0	0	0	0
Vmn2r65	0	0	0	0	0	0	0	0
Hic1	0.126	0.087	0	11.617	0	0	0	0
Robo3	0	0	0	0	0	0	0	0
Rnase4	90.351	95.666	0	70.95	0	47.929	0	102.729
Lmnb2	15.677	21.029	35.897	29.268	0	16.961	0	0
Me1	5.038	4.854	0.896	0	0	6.729	0	0
Sap18	7.243	7.139	47.106	19.705	0	0.772	0	0
Katnal1	3.186	3.498	0	0.308	0	3.658	0	0
Tph1	0	0	0	0	0	0	0	0
Tspan11	0	0	0	0	0	0	0	0
Nedd1	14.475	13.444	0	1.075	0	14.632	125.868	0
Fmo2	0	0	0	0	0	0	0	0
Slc25a4	131.783	149.233	141.245	104.022	250.411	113.881	385.823	235.208
2810404M03Rik	0	0	0	0	0	0	0	0
Mad2l1bp	21.629	24.863	0	0	0	31.011	2.477	0
Rtp3	0	0.03	0	0	0	0	0	0
Spcs2	40.225	40.029	56.875	28.935	134.016	53.955	86.067	145.78
Kbtbd4	18.058	17.613	0	29.499	0	11.97	0	4.004
Tubg2	0.076	0.125	0	0	0	0	0	0
Gsdmc2	0	0	0	0	0	0	0	0
Dlgap3	0	0	0	0	0	0	0	0
Nr1h5	0	0	0	0	0	0	0	0
Psmd3	55.124	57.441	100.058	54.922	114.158	55.653	0	0
Slc4a9	0.03	0.025	0	0	0	0	0	0
Tgfbr3l	0.376	0.482	0	0	0	0	0	0
Slc2a4	0.079	0	0	0	0	0	0	0
Cpa6	0	0.041	0	0	0	0	0	0
Gm7443	0.097	0.04	0	0	0	0	0	0
Vps13b	13.74	12.647	5.564	5.964	0	11.936	13.68	41.748
Olfr837	0	0	0	0	0	0	0	0
Zcrb1	26.682	26.521	0	0	0	0	0	0
1500015L24Rik	0	0	0	0	0	0	0	0
2900052L18Rik	1.563	1.351	0	0	0	0	0	0
4732490B19Rik	0	0	0	0	0	0	0	0
L2hgdh	2.127	2.536	25.755	0	0	0	0	0
Itgb2l	0	0.028	0	0	0	0	0	0
Defb9	0	0	0	0	0	0	0	0
Tnnt2	0	0	0	0	0	0	0	0
Azin1	47.273	45.926	2.896	16.961	0	28.695	24.418	27.219
Pabpn1l	0	0	0	0	0	0	0	0
Pde4a	9.155	10.505	0	20.379	0	10.486	0	29.433
Tmem25	0.477	0.908	0	16.758	0	0	0	0
Cyp4v3	74.744	65.173	34.343	28.501	64.504	72.543	120.511	136.991
