Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0097193~intrinsic apoptotic signaling pathway	7	1.4893617021276597	2.7873707076349852E-5	CASP9, MSH6, PYCARD, NLRP1A, SIVA1, BAD, BAK1	461	39	29775	11.592691473385615	0.057065627764538496	0.032603326758178626	0.032572393810590225
GOTERM_BP_DIRECT	GO:0006338~chromatin remodeling	32	6.808510638297872	3.093294758840477E-5	DDX49, SMARCB1, DDX47, DDX20, AATK, RPAP2, AURKB, BCL7A, UBASH3B, TLK1, NEK2, MTA3, ZBTB7A, PAK4, PRMT5, KSR1, DDX56, LIMK1, BRAF, HASPIN, SMARCA2, DUSP6, CTDNEP1, SNRK, PPM1B, TADA2A, BC004004, CARM1, TAOK2, ULK3, TAF1, ZFP110	461	897	29775	2.3041374357039737	0.06312710977344371	0.032603326758178626	0.032572393810590225
GOTERM_BP_DIRECT	GO:0000278~mitotic cell cycle	10	2.127659574468085	6.252012111406495E-5	NEDD1, TUBB6, TADA2A, TUBGCP2, PPP2R2D, PLK1, TBCD, PHF13, HASPIN, AURKB	461	112	29775	5.766772544158662	0.12348068233912202	0.0439308051028163	0.043889125022073594
GOTERM_BP_DIRECT	GO:0032259~methylation	10	2.127659574468085	4.4148088011845555E-4	PRMT5, KMT2A, MGMT, SUV39H1, CARM1, KMT2B, AMT, MTR, COMT, PRDM10	461	145	29775	4.454334654798414	0.6057804084692665	0.2323727655696332	0.23215229805011742
GOTERM_BP_DIRECT	GO:2000116~regulation of cysteine-type endopeptidase activity	4	0.851063829787234	5.511687987894525E-4	PYCARD, MGMT, BAD, NLRC4	461	11	29775	23.48649181620982	0.6871977687221126	0.2323727655696332	0.23215229805011742
GOTERM_BP_DIRECT	GO:0006364~rRNA processing	9	1.9148936170212765	0.001060677528962876	POP5, BOP1, DDX49, PDCD11, DDX47, SUV39H1, WDR18, DDX56, RPL35A	461	132	29775	4.403717215539341	0.8932317689753915	0.34796713354034814	0.3476369939449588
GOTERM_BP_DIRECT	GO:0032922~circadian regulation of gene expression	7	1.4893617021276597	0.001155488583862636	EGR1, PRMT5, KMT2A, NOCT, ID2, CRY1, ID3	461	76	29775	5.948881150816303	0.9125928569973897	0.34796713354034814	0.3476369939449588
GOTERM_BP_DIRECT	GO:0006915~apoptotic process	20	4.25531914893617	0.001563500334349751	SIVA1, BAD, TRADD, SRA1, AATK, NLRC4, TRIAP1, VEGFA, PYCARD, CASP9, FCHSD1, MIEN1, ZFP385A, PDCD4, CASP1, BAK1, XAF1, YPEL3, FAIM, PAK4	461	570	29775	2.2662404384062107	0.9630591735490126	0.4119823381011594	0.41159146301757193
GOTERM_BP_DIRECT	GO:0051607~defense response to virus	12	2.553191489361702	0.0018847040091924565	PYCARD, NLRP1A, TRIM41, DDX56, MX1, CD207, POLR3E, NLRC5, CASP1, IRF7, GBP2, TICAM1	461	250	29775	3.1002169197396965	0.9812526840334107	0.4414395612641887	0.4410207381510348
GOTERM_BP_DIRECT	GO:0001782~B cell homeostasis	5	1.0638297872340425	0.002239679611747398	PPP2R3C, PIK3CD, BAK1, BBIP1, SOS1	461	36	29775	8.970535068691252	0.9911429326381298	0.4661488400022427	0.4657065735506277
GOTERM_BP_DIRECT	GO:0000122~negative regulation of transcription by RNA polymerase II	29	6.170212765957447	0.002432465483882671	SUV39H1, ZFP746, DDX20, ZFP608, NR2C1, AURKB, RPS14, SUFU, NCK2, WDR5, MTA3, ZBTB7A, SAMD11, ESRRA, EGR1, PRMT5, RALGAPA1, PHF12, PLK1, ZFP217, ZBTB34, SIRT7, VEGFA, SMAD7, MAF, ID2, CRY1, ID3, MAGED2	461	1015	29775	1.845367214130772	0.9941063735343413	0.4661488400022427	0.4657065735506277
GOTERM_BP_DIRECT	GO:0042981~regulation of apoptotic process	11	2.3404255319148937	0.0026891299619775447	CASP9, PYCARD, EGR1, NLRP1A, BAD, TRADD, CASP1, SRA1, BAK1, NLRC4, ZBTB7A	461	224	29775	3.171724899287264	0.9965738618925275	0.4723904966540553	0.4719423083270591
GOTERM_BP_DIRECT	GO:0051092~positive regulation of NF-kappaB transcription factor activity	8	1.702127659574468	0.003507117367527057	PYCARD, PRDX3, DDRGK1, CARM1, NLRC4, TICAM1, ZBTB7A, TIRAP	461	126	29775	4.100816031401715	0.999392402478873	0.5457007660411548	0.5451830233788766
GOTERM_BP_DIRECT	GO:0008625~extrinsic apoptotic signaling pathway via death domain receptors	5	1.0638297872340425	0.003624198635946948	BAG3, SORT1, DDX47, BAD, TRADD	461	41	29775	7.87656737738744	0.9995257084593743	0.5457007660411548	0.5451830233788766
GOTERM_BP_DIRECT	GO:0006383~transcription by RNA polymerase III	4	0.851063829787234	0.003961377190247984	GTF3C3, BRF1, GTF3C6, POLR1B	461	21	29775	12.302448094205143	0.9997676270264373	0.5567055411361834	0.556177357510817
GOTERM_BP_DIRECT	GO:0006357~regulation of transcription by RNA polymerase II	40	8.51063829787234	0.004937385071910128	ZFP523, ZFP644, SMARCB1, CTBP2, ZFP944, SRA1, ZFP608, NR2C1, RPAP2, ZFP809, ZFP119B, BCL7A, HSF2, ZFP384, WDR5, ZBTB7A, ESRRA, ZFP579, EGR1, CDC5L, ELP3, SIRT7, MED4, EPOP, USF2, SMARCA2, DUSP6, MED6, VEGFA, SMAD7, CTDNEP1, PPM1B, TADA2A, MAF, ID2, IRF7, ZFP212, RCOR3, SOS1, ZFP110	461	1632	29775	1.5830356003572796	0.9999705785568812	0.5732290110053269	0.5726851504635762
GOTERM_BP_DIRECT	GO:0097202~activation of cysteine-type endopeptidase activity	4	0.851063829787234	0.005155837466619254	PYCARD, BAD, BAK1, NLRC4	461	23	29775	11.232669999056872	0.9999814792749842	0.5732290110053269	0.5726851504635762
GOTERM_BP_DIRECT	GO:0045773~positive regulation of axon extension	5	1.0638297872340425	0.005497710918916812	ZFYVE27, SMURF1, LIMK1, TRPV2, TWF2	461	46	29775	7.020418749410545	0.9999910257287694	0.5732290110053269	0.5726851504635762
GOTERM_BP_DIRECT	GO:0006281~DNA repair	12	2.553191489361702	0.005498335446091982	MSH6, POLA1, PARP3, SLX4, HERC2, MGMT, TTC5, REV1, XRCC1, CDC5L, SIRT7, TTF2	461	288	29775	2.6911605206073754	0.9999910376008835	0.5732290110053269	0.5726851504635762
GOTERM_BP_DIRECT	GO:0045892~negative regulation of DNA-templated transcription	21	4.468085106382979	0.005869123146833247	PHC2, NDUFA13, CTBP2, SHC1, PHF12, SUV39H1, ZBTB38, ZFP746, ZFP217, DDX20, NR2C1, SMARCA2, CCDC85B, ID2, PDCD4, CRY1, ID3, RCOR3, MTA3, ZBTB7A, SAMD11	461	691	29775	1.9628725070710813	0.9999959165200499	0.5732290110053269	0.5726851504635762
GOTERM_BP_DIRECT	GO:0045815~transcription initiation-coupled chromatin remodeling	5	1.0638297872340425	0.0059370984836303	SMARCB1, KMT2A, WDR5, SIRT7, GLYR1	461	47	29775	6.871048137720957	0.999996464669982	0.5732290110053269	0.5726851504635762
GOTERM_BP_DIRECT	GO:0051260~protein homooligomerization	8	1.702127659574468	0.005982465959258629	PYCARD, SPAST, NLRP1A, SHKBP1, ZFP746, SGTA, NLRC4, KCTD18	461	139	29775	3.7172864745080294	0.9999967889479181	0.5732290110053269	0.5726851504635762
GOTERM_BP_DIRECT	GO:0006270~DNA replication initiation	4	0.851063829787234	0.006545013820144884	PRIM2, POLA1, MCM10, NOC3L	461	25	29775	10.334056399132322	0.9999990263729642	0.599864744907192	0.5992956132706576
GOTERM_BP_DIRECT	GO:0045087~innate immune response	17	3.6170212765957444	0.007119285969450422	CHID1, NLRP1A, TRIM41, MX1, NLRC5, ZDHHC5, PIK3CD, UAP1, IFI47, NLRC4, TICAM1, ZFP809, TIRAP, PYCARD, SERTAD3, POLR3E, N4BP3	461	517	29775	2.123778515295569	0.9999997122376623	0.625310617650062	0.6247173438192746
GOTERM_BP_DIRECT	GO:0150105~protein localization to cell-cell junction	3	0.6382978723404255	0.007979332949272248	ARHGEF18, TJP3, TJP2	461	9	29775	21.529284164859003	0.9999999536896756	0.6728173542826359	0.6721790076466941
GOTERM_BP_DIRECT	GO:0032606~type I interferon production	3	0.6382978723404255	0.0098727927930582	PPME1, IRF7, TICAM1	461	10	29775	19.3763557483731	0.9999999991746916	0.788357098965717	0.7876091320786528
GOTERM_BP_DIRECT	GO:0045600~positive regulation of fat cell differentiation	5	1.0638297872340425	0.010310987896288665	ZFP385A, NOCT, CARM1, ID2, CREBL2	461	55	29775	5.871622954052455	0.9999999996753899	0.788357098965717	0.7876091320786528
GOTERM_BP_DIRECT	GO:0032480~negative regulation of type I interferon production	4	0.851063829787234	0.010915267793101148	DDX56, UFD1, GPATCH3, XAF1	461	30	29775	8.6117136659436	0.9999999999104194	0.788357098965717	0.7876091320786528
GOTERM_BP_DIRECT	GO:0097191~extrinsic apoptotic signaling pathway	5	1.0638297872340425	0.010971725769990568	NDUFA13, SIVA1, BAD, TRADD, ZFP110	461	56	29775	5.766772544158662	0.9999999999205754	0.788357098965717	0.7876091320786528
GOTERM_BP_DIRECT	GO:0032496~response to lipopolysaccharide	9	1.9148936170212765	0.011219503305963715	CASP9, PRDX3, PTGER1, NOCT, CASP1, SELENOW, TICAM1, TIRAP, PCK2	461	195	29775	2.9809778074420157	0.9999999999531649	0.788357098965717	0.7876091320786528
GOTERM_BP_DIRECT	GO:0060907~positive regulation of macrophage cytokine production	4	0.851063829787234	0.011948553822340936	PYCARD, CASP1, TICAM1, TIRAP	461	31	29775	8.333916450913163	0.9999999999901075	0.8125016599191837	0.8117307854790327
